Book,Line,Locus,Hero,Epithet,Speaker,Addressee,Greek
3,271,3.271,ΑΓΑΜΕΜΝΩΝ,Ἀτρεΐδης,,,"Ἀτρεΐδης δὲ ἐρυσσάμενος χείρεσσι μάχαιραν,"
3,275,3.275,ΑΓΑΜΕΜΝΩΝ,Ἀτρεΐδης,,,τοῖσιν δ’ Ἀτρεΐδης μεγάλ’ εὔχετο χεῖρας ἀνασχών·
3,275,3.275,ΑΓΑΜΕΜΝΩΝ,μεγάλ’,,,τοῖσιν δ’ Ἀτρεΐδης μεγάλ’ εὔχετο χεῖρας ἀνασχών·
3,282,3.282,ΕΛΕΝΟΣ,πάντα,Agamemnon,Zeus,"αὐτὸς ἔπειθ’ Ἑλένην ἐχέτω καὶ κτήματα πάντα,"
3,284,3.284,ΜΕΝΕΛΑΟΣ,ξανθὸς,Agamemnon,Zeus,"εἰ δέ κ’ Ἀλέξανδρον κτείνῃ ξανθὸς Μενέλαος,"
3,303,3.303,ΠΡΙΑΜΟΣ,Δαρδανίδης,,,τοῖσι δὲ Δαρδανίδης Πρίαμος μετὰ μῦθον ἔειπε·
3,307,3.307,ΜΕΝΕΛΑΟΣ,ἀρηϊφίλῳ,Priam,Greeks; Trojans,μαρνάμενον φίλον υἱὸν ἀρηϊφίλῳ Μενελάῳ·
3,314,3.314,ΟΔΥΣΣΕΥΣ,δῖος,,,Ἕκτωρ δὲ Πριάμοιο πάϊς καὶ δῖος Ὀδυσσεὺς
3,324,3.324,ΕΚΤΩΡ,μέγας,,,"ὣς ἄρ’ ἔφαν, πάλλεν δὲ μέγας κορυθαίολος Ἕκτωρ"
3,324,3.324,ΕΚΤΩΡ,κορυθαίολος,,,"ὣς ἄρ’ ἔφαν, πάλλεν δὲ μέγας κορυθαίολος Ἕκτωρ"
3,329,3.329,ΕΛΕΝΟΣ,ἠϋκόμοιο,,,δῖος Ἀλέξανδρος Ἑλένης πόσις ἠϋκόμοιο.
3,329,3.329,ΠΑΡΙΣ,δῖος,,,δῖος Ἀλέξανδρος Ἑλένης πόσις ἠϋκόμοιο.
3,339,3.339,ΜΕΝΕΛΑΟΣ,ἀρήϊος,,,ὣς δ’ αὔτως Μενέλαος ἀρήϊος ἔντε’ ἔδυνεν.
