Book,Line,Token,Lemma,POS,Morph,FilterReason
11,347,κυλίνδεται,κυλίνδω,VERB,"{'pos': 'VERB', 'person': '3', 'number': 'Sing', 'tense': 'Pres', 'mood': 'Ind', 'voice': 'Mp'}",POS_not_ADJ_or_Part
11,354,ἀπέλεθρον,ἀπέλεθρος,ADJ,"{'pos': 'ADJ', 'number': 'Sing', 'gender': 'Neut', 'case': 'Acc'}","Agreement_fail (Hektor:{'pos': 'NOUN', 'number': 'Sing', 'gender': 'Masc', 'case': 'Nom'} vs Epithet:{'pos': 'ADJ', 'number': 'Sing', 'gender': 'Neut', 'case': 'Acc'})"
11,354,ἀνέδραμε,ἀνατρέχω,VERB,"{'pos': 'VERB', 'person': '3', 'number': 'Sing', 'tense': 'Aor', 'mood': 'Ind', 'voice': 'Act'}",POS_not_ADJ_or_Part
11,354,μίκτο,μίγνυμι,VERB,"{'pos': 'VERB', 'person': '3', 'number': 'Sing', 'tense': 'Aor', 'mood': 'Ind', 'voice': 'Pass'}",POS_not_ADJ_or_Part
11,358,προμάχων,πρόμαχος,ADJ,"{'pos': 'ADJ', 'number': 'Plur', 'gender': 'Masc', 'case': 'Gen'}","Agreement_fail (Hektor:{'pos': 'NOUN', 'number': 'Sing', 'gender': 'Masc', 'case': 'Nom'} vs Epithet:{'pos': 'ADJ', 'number': 'Plur', 'gender': 'Masc', 'case': 'Gen'})"
11,358,ὅθι,ὅθι,ADV,{'pos': 'ADV'},POS_not_ADJ_or_Part
11,358,καταείσατο,καθίζω,VERB,"{'pos': 'VERB', 'person': '3', 'number': 'Sing', 'tense': 'Aor', 'mood': 'Ind', 'voice': 'Mid'}",POS_not_ADJ_or_Part
11,358,γαίης,γαῖα,NOUN,"{'pos': 'NOUN', 'number': 'Sing', 'gender': 'Fem', 'case': 'Gen'}",POS_not_ADJ_or_Part
11,359,τόφῤ,τόφρα,ADV,{'pos': 'ADV'},POS_not_ADJ_or_Part
11,359,ἔμπνυτο,ἐμπνέω,VERB,"{'pos': 'VERB', 'person': '3', 'number': 'Sing', 'tense': 'Aor', 'mood': 'Ind', 'voice': 'Mid'}",POS_not_ADJ_or_Part
11,359,καὶ,καί,CONJ,{'pos': 'CONJ'},POS_not_ADJ_or_Part
11,359,δίφρον,δίφρος,NOUN,"{'pos': 'NOUN', 'number': 'Sing', 'gender': 'Masc', 'case': 'Acc'}",POS_not_ADJ_or_Part
11,498,πεύθετ̓,πεύθομαι,VERB,"{'pos': 'VERB', 'person': '3', 'number': 'Sing', 'tense': 'Impf', 'mood': 'Ind', 'voice': 'Mp'}",POS_not_ADJ_or_Part
11,498,ἐπεί,ἐπεί,CONJ,{'pos': 'CONJ'},POS_not_ADJ_or_Part
